Date,Active
11-04-2021,3476.938524
11-03-2021,3475.724515
11-02-2021,3474.488667
11-01-2021,3473.238687
10-31-2021,3471.966868
10-30-2021,3470.670641
10-29-2021,3469.358997
10-28-2021,3468.024229
10-27-2021,3466.661199
10-26-2021,3465.280184
10-25-2021,3463.879898
10-24-2021,3462.45135
10-23-2021,3461.003532
10-22-2021,3459.539013
10-21-2021,3458.059078
10-20-2021,3456.563727
10-19-2021,3455.060669
10-18-2021,3453.546048
10-17-2021,3452.014726
10-16-2021,3450.450004
10-15-2021,3448.866011
10-14-2021,3447.266602
10-13-2021,3445.649208
10-12-2021,3444.004836
10-11-2021,3442.348902
10-10-2021,3440.674983
10-09-2021,3438.967662
10-08-2021,3437.241072
10-07-2021,3435.495211
10-06-2021,3433.709526
10-05-2021,3431.869885
10-04-2021,3430.008404
10-03-2021,3428.1238
10-02-2021,3426.156977
10-01-2021,3424.129774
09-30-2021,3422.078163
09-29-2021,3420.007282
09-28-2021,3417.920985
09-27-2021,3415.82698
09-26-2021,3413.698289
09-25-2021,3411.522066
09-24-2021,3409.307302
09-23-2021,3407.080977
09-22-2021,3404.839235
09-21-2021,3402.678428
09-20-2021,3400.562583
09-19-2021,3398.428754
09-18-2021,3396.248676
09-17-2021,3394.125124
09-16-2021,3391.981017
09-15-2021,3389.806078
09-14-2021,3387.676102
09-13-2021,3385.632199
09-12-2021,3383.602428
09-11-2021,3381.536685
09-10-2021,3379.431118
09-09-2021,3377.335829
09-08-2021,3375.285502
09-07-2021,3373.246738
09-06-2021,3371.263214
09-05-2021,3369.264275
09-04-2021,3367.219087
09-03-2021,3365.195739
09-02-2021,3363.181383
09-01-2021,3361.174735
08-31-2021,3359.236175
08-30-2021,3357.29376
08-29-2021,3355.337215
08-28-2021,3353.361399
08-27-2021,3351.368883
08-26-2021,3349.387928
08-25-2021,3347.385134
08-24-2021,3345.364355
08-23-2021,3343.32816
08-22-2021,3341.267557
08-21-2021,3339.173552
08-20-2021,3337.051284
08-19-2021,3334.908462
08-18-2021,3332.721961
08-17-2021,3330.413417
08-16-2021,3328.09588
08-15-2021,3325.717964
08-14-2021,3323.282238
08-13-2021,3320.820819
08-12-2021,3318.33756
08-11-2021,3315.842739
08-10-2021,3313.319656
08-09-2021,3310.887784
08-08-2021,3308.409664
08-07-2021,3305.896858
08-06-2021,3303.367351
08-05-2021,3300.81729
08-04-2021,20117
08-03-2021,20217
08-02-2021,20385
08-01-2021,20524
07-31-2021,20716
07-30-2021,20934
07-29-2021,21207
07-28-2021,21521
07-27-2021,22188
07-26-2021,22762
07-25-2021,23364
07-24-2021,24025
07-23-2021,27332
07-22-2021,25526
07-21-2021,26158
07-20-2021,26717
07-19-2021,27282
07-18-2021,27897
07-17-2021,28590
07-16-2021,29230
07-15-2021,29950
07-14-2021,30600
07-13-2021,31218
07-12-2021,31819
07-11-2021,32307
07-10-2021,32767
07-09-2021,33224
07-08-2021,33665
07-07-2021,34076
07-06-2021,34477
07-05-2021,34926
07-04-2021,35294
07-03-2021,35881
07-02-2021,36707
07-01-2021,37526
06-30-2021,38191
06-29-2021,39335
06-28-2021,40954
06-27-2021,42801
06-26-2021,44924
06-25-2021,47318
06-24-2021,49845
06-23-2021,52884
06-22-2021,56886
06-21-2021,61329
06-20-2021,69372
06-19-2021,78780
06-18-2021,89009
06-17-2021,100523
06-16-2021,114335
06-15-2021,125215
06-14-2021,136884
06-13-2021,149927
06-12-2021,162073
06-11-2021,174802
06-10-2021,188664
06-09-2021,204258
06-08-2021,218595
06-07-2021,232026
06-06-2021,244289
06-05-2021,257463
06-04-2021,268968
06-03-2021,280426
06-02-2021,288702
06-01-2021,296131
05-31-2021,301781
05-30-2021,305546
05-29-2021,310157
05-28-2021,312386
05-27-2021,313048
05-26-2021,310224
05-25-2021,306652
05-24-2021,301580
05-23-2021,294143
05-22-2021,284278
05-21-2021,274629
05-20-2021,263390
05-19-2021,253576
05-18-2021,242929
05-17-2021,231596
05-16-2021,219342
05-15-2021,207789
05-14-2021,195339
05-13-2021,183772
05-12-2021,172735
05-11-2021,162181
05-10-2021,152389
05-09-2021,144547
05-08-2021,139401
05-07-2021,135355
05-06-2021,131468
05-05-2021,128311
05-04-2021,125230
05-03-2021,123258
05-02-2021,120444
05-01-2021,117405
04-30-2021,115128
04-29-2021,112556
04-28-2021,110308
04-27-2021,108855
04-26-2021,107145
04-25-2021,105180
04-24-2021,100668
04-23-2021,95048
04-22-2021,89428
04-21-2021,84361
04-20-2021,79804
04-19-2021,75116
04-18-2021,70391
04-17-2021,65635
04-16-2021,61593
04-15-2021,58097
04-14-2021,54315
04-13-2021,49985
04-12-2021,46308
04-11-2021,41955
04-10-2021,37673
04-09-2021,33659
04-08-2021,30131
04-07-2021,27743
04-06-2021,25598
04-05-2021,23777
04-04-2021,21958
04-03-2021,20204
04-02-2021,18606
04-01-2021,17043
03-31-2021,15879
03-30-2021,14846
03-29-2021,13983
03-28-2021,13070
03-27-2021,12157
03-26-2021,11318
03-25-2021,10487
03-24-2021,9746
03-23-2021,9145
03-22-2021,8619
03-21-2021,7903
03-20-2021,7291
03-19-2021,6690
03-18-2021,6222
03-17-2021,5811
03-16-2021,5450
03-15-2021,5149
03-14-2021,4870
03-13-2021,4662
03-12-2021,4483
03-11-2021,4344
03-10-2021,4207
03-09-2021,4073
03-08-2021,4018
03-07-2021,3997
03-06-2021,3952
03-05-2021,3954
03-04-2021,3978
03-03-2021,3990
03-02-2021,3997
03-01-2021,4009
02-28-2021,4022
02-27-2021,4036
02-26-2021,4046
02-25-2021,4053
02-24-2021,4062
02-23-2021,4074
02-22-2021,4091
02-21-2021,4109
02-20-2021,4120
02-19-2021,4147
02-18-2021,4173
02-17-2021,4192
02-16-2021,4206
02-15-2021,4232
02-14-2021,4260
02-13-2021,4275
02-12-2021,4285
02-11-2021,4294
02-10-2021,4309
02-09-2021,4328
02-08-2021,4354
02-07-2021,4389
02-06-2021,4417
02-05-2021,4446
02-04-2021,4467
02-03-2021,4494
02-02-2021,4517
02-01-2021,4532
01-31-2021,4554
01-30-2021,4575
01-29-2021,4601
01-28-2021,4629
01-27-2021,4676
01-26-2021,4736
01-25-2021,4813
01-24-2021,4904
01-23-2021,4984
01-22-2021,5073
01-21-2021,5196
01-20-2021,5314
01-19-2021,5487
01-18-2021,5725
01-17-2021,5940
01-16-2021,6128
01-15-2021,6299
01-14-2021,6488
01-13-2021,6653
01-12-2021,6807
01-11-2021,6971
01-10-2021,7164
01-09-2021,7304
01-08-2021,7547
01-07-2021,7547
01-06-2021,7665
01-05-2021,7808
01-04-2021,7970
01-03-2021,8127
01-02-2021,8272
01-01-2021,9409
12-31-2022,4617.640666
12-30-2022,4617.621396
12-29-2022,4617.603411
12-28-2022,4617.58671
12-27-2022,4617.572579
12-26-2022,4617.559732
12-25-2022,4617.54817
12-24-2022,4617.535324
12-23-2022,4617.526331
12-22-2022,4617.516054
12-21-2022,4617.50963
12-20-2022,4617.501922
12-19-2022,4617.494214
12-18-2022,4617.487791
12-17-2022,4617.480083
12-16-2022,4617.47109
12-15-2022,4617.460813
12-14-2022,4617.45182
12-13-2022,4617.441543
12-12-2022,4617.433835
12-11-2022,4617.414565
12-10-2022,4617.414565
12-09-2022,4617.405572
12-08-2022,4617.395295
12-07-2022,4617.383733
12-06-2022,4617.369602
12-05-2022,4617.356755
12-04-2022,4617.342624
12-03-2022,4617.327208
12-02-2022,4617.310507
12-01-2022,4617.292522
11-30-2022,4617.273252
11-29-2022,4617.252697
11-28-2022,4617.228288
11-27-2022,4617.200026
11-26-2022,4617.167909
11-25-2022,4617.133223
11-24-2022,4617.095968
11-23-2022,4617.056143
11-22-2022,4617.015034
11-21-2022,4616.964932
11-20-2022,4616.910976
11-19-2022,4616.854451
11-18-2022,4616.794071
11-17-2022,4616.719561
11-16-2022,4616.639912
11-15-2022,4616.556408
11-14-2022,4616.470336
11-13-2022,4616.37784
11-12-2022,4616.280205
11-11-2022,4616.177432
11-10-2022,4616.06952
11-09-2022,4615.559508
11-08-2022,4615.559508
11-07-2022,4615.559508
11-06-2022,4615.559508
11-05-2022,4615.413056
11-04-2022,4615.260181
11-03-2022,4615.102167
11-02-2022,4614.93773
11-01-2022,4614.759161
10-31-2022,4614.574169
10-30-2022,4614.3789
10-29-2022,4614.175923
10-28-2022,4613.967807
10-27-2022,4613.754553
10-26-2022,4613.524597
10-25-2022,4613.289504
10-24-2022,4613.049271
10-23-2022,4612.794907
10-22-2022,4612.530266
10-21-2022,4612.255348
10-20-2022,4611.970152
10-19-2022,4611.668256
10-18-2022,4611.354797
10-17-2022,4611.029777
10-16-2022,4610.681632
10-15-2022,4610.323211
10-14-2022,4609.957081
10-13-2022,4609.581959
10-12-2022,4609.201698
10-11-2022,4608.813729
10-10-2022,4608.42319
10-09-2022,4608.000535
10-08-2022,4607.56118
10-07-2022,4607.090992
10-06-2022,4606.593826
10-05-2022,4606.074821
10-04-2022,4605.533977
10-03-2022,4604.96487
10-02-2022,4604.37264
10-01-2022,4603.744438
09-30-2022,4603.090543
09-29-2022,4602.419948
09-28-2022,4601.73779
09-27-2022,4601.050494
09-26-2022,4600.360629
09-25-2022,4599.666909
09-24-2022,4598.975759
09-23-2022,4598.291032
09-22-2022,4597.611444
09-21-2022,4596.940849
09-20-2022,4596.286954
09-19-2022,4595.64976
09-18-2022,4595.009996
09-17-2022,4594.377941
09-16-2022,4593.762586
09-15-2022,4593.167786
09-14-2022,4592.59354
09-13-2022,4592.055265
09-12-2022,4591.514421
09-11-2022,4590.967154
09-10-2022,4590.413463
09-09-2022,4589.855918
09-08-2022,4589.295804
09-07-2022,4588.727982
09-06-2022,4588.156305
09-05-2022,4587.57949
09-04-2022,4586.98469
09-03-2022,4586.380897
09-02-2022,4585.773251
09-01-2022,4585.154042
08-31-2022,4584.530979
08-30-2022,4582.607834
08-29-2022,4582.607834
08-28-2022,4582.607834
08-27-2022,4581.933385
08-26-2022,4581.247374
08-25-2022,4580.554939
08-24-2022,4579.85865
08-23-2022,4579.155938
08-22-2022,4578.436525
08-21-2022,4577.677288
08-20-2022,4576.902634
08-19-2022,4576.097149
08-18-2022,4575.276248
08-17-2022,4574.450208
08-16-2022,4573.61646
08-15-2022,4572.755734
08-14-2022,4571.852614
08-13-2022,4570.877553
08-12-2022,4569.881937
08-11-2022,4568.823372
08-10-2022,4567.677451
08-09-2022,4566.486566
08-08-2022,4565.277695
08-07-2022,4562.671109
08-06-2022,4562.671109
08-05-2022,4561.265684
08-04-2022,4559.799881
08-03-2022,4558.244151
08-02-2022,4556.589502
08-01-2022,4554.916867
07-31-2022,4553.171006
07-30-2022,4551.286402
07-29-2022,4549.297739
07-28-2022,4545.012095
07-27-2022,4545.012095
07-26-2022,4542.695843
07-25-2022,4540.32435
07-24-2022,4537.879631
07-23-2022,4535.380957
07-22-2022,4532.79364
07-21-2022,4530.181915
07-20-2022,4527.49311
07-19-2022,4524.774757
07-18-2022,4522.023004
07-17-2022,4519.167192
07-16-2022,4516.191906
07-15-2022,4513.185789
07-14-2022,4510.215642
07-13-2022,4507.28275
07-12-2022,4504.367844
07-11-2022,4501.438806
07-10-2022,4498.293945
07-09-2022,4495.034748
07-08-2022,4491.603406
07-07-2022,4488.106546
07-06-2022,4484.554446
07-05-2022,4481.030608
07-04-2022,4477.610828
07-03-2022,4474.201326
07-02-2022,4470.768699
07-01-2022,4467.514641
06-30-2022,4464.450714
06-29-2022,4461.79274
06-28-2022,4459.445656
06-27-2022,4457.539212
06-26-2022,4455.662316
06-25-2022,4453.771288
06-24-2022,4451.99588
06-23-2022,4450.25002
06-22-2022,4448.88442
06-21-2022,4447.893943
06-20-2022,4446.947144
